x1,x2,x3
0.2821740556517035,0.8423679749263565,0.7835244163589898
1.0387349603110818,1.0072649815421995,1.0450755703455474
1.743457165685232,1.8033092440834786,1.4671313034345659
2.45215779181281,3.251581123986818,1.5298270658674027
3.3346452739407737,4.960559790669677,0.7648557688614503
4.602430660289117,6.290931012370821,-0.8853990383605392
6.3838827920937185,6.761843101967195,-2.895929348175818
8.62272787409021,6.476858188816228,-4.36517312567288
11.083820540258838,6.2591642554503455,-4.572013949331807
13.498302619991996,7.298612688270397,-3.586169490744365
15.787237819627833,10.410990680254907,-2.4953272829599618
18.224113376143737,15.332450853831713,-2.9521575166543106
21.395655201290307,20.587153820911325,-6.151972675413778
25.92388400864432,24.21889900813948,-11.813058950537219
32.07802526562098,25.131032486130138,-17.92082345490087
39.53010957249475,24.240467722968454,-21.68210103747764
47.48605672163202,24.52509624376741,-21.383500906841707
55.22197421410464,29.561051803080435,-18.072010065296936
62.763753646059875,41.13688268743824,-15.747370225770862
71.25419783305531,57.41574529688438,-19.427066365306665
82.63295493699951,73.2000196077222,-31.81651403324905
98.6419052229908,82.8057933263427,-50.60110614165898
119.67604414597409,84.28005378055084,-68.5872053669722
144.2893942097985,82.27033879594345,-77.54062088310644
169.94861781847467,86.96270447103613,-74.10003069486115
194.8962854415765,108.57081366797017,-64.05542706375981
220.11401397753528,150.00161030301743,-61.26132343104572
249.9653485884229,202.55924455881382,-80.20663764464277
290.6091596994056,248.9098738885318,-125.6632676060143
346.6335111326177,273.53161481462854,-186.15546189831772
417.83809860891205,275.37338815417013,-237.3978694026391
498.62894508610793,274.04021949389215,-256.4771576729942
581.3683127200251,302.7479627542105,-239.80757935892217
662.5276722475612,388.8934541915081,-212.7529226306121
748.0221314888578,532.5982789894106,-220.97444280433837
853.5094823878584,698.5562328232153,-303.86163164249353
997.7854696539341,831.7256829924169,-463.87322680963337
1191.9324925529304,893.1667181086699,-653.2832708722058
1430.9371420092762,896.083080293498,-794.0407556341304
1694.903257701545,915.3225885934348,-827.0295983063531
1962.2274106811115,1054.4386597366313,-763.8749737047697
2228.992446043311,1380.7328836555205,-703.5814775577868
2522.296249363462,1866.0426749682604,-789.9010357773205
2895.664256287449,2379.379198475702,-1121.4450407712586
3404.101996793482,2754.298533887459,-1665.7828454443472
4070.7170440493974,2905.8645282123193,-2242.9200880308363
4867.128137513439,2926.733010229665,-2613.7076766268483
5727.054034845121,3083.926811863498,-2642.4379651598847
6594.261974786273,3685.6900667963437,-2437.3581768391928
7480.886811230162,4874.409424478689,-2357.1496707660503
8496.436712251776,6475.39998815007,-2833.9151726728387
9816.43827559008,8033.11242267715,-4083.431431206815
11594.335096891504,9070.653106984775,-5881.07271821436
13863.807290181612,9454.161902873928,-7592.491732059172
16501.64693732269,9625.961922984154,-8521.518648922422
19299.721001991882,10489.386101938499,-8422.294815773956
22129.591824989293,12915.274578712144,-7849.2507809744575
25108.968115003612,17112.07379388365,-8030.40544588814
28647.607673499708,22283.983895549143,-10199.637463795778
33299.406457443816,26928.8516782967,-14705.255441539908
39467.537746867594,29768.448554621642,-20484.920517759587
47134.86883126651,30830.310806548918,-25421.17619714902
55830.832050164354,31927.002587732783,-27607.59903579527
64940.59042446795,35975.969655689834,-26887.28355742761
74243.01817125022,45281.25334946122,-25609.467423960603
84356.05999407863,59712.58142368342,-27780.75210551997
96730.18263699496,76106.56420920369,-36708.66197628937
113047.90778228262,89746.98289887593,-52391.45525112156
134283.15047537268,97518.77461725,-70516.19612279072
160013.0530361263,100948.46713961287,-84351.03018022983
188585.71395662747,106832.15664956706,-89091.12023403477
218312.08249716245,124182.48800821912,-86242.93138082471
249144.6479741926,158545.8031539191,-84796.8965962294
283764.8242611982,207051.97836757434,-97246.56968374066
327083.09114400565,258137.63492231618,-131704.1972229269
384007.8480113603,297718.83231944835,-184689.2579572652
456582.9619197025,319378.8247822045,-240194.4673795232
